,Old_WScore,Position_Weight,SCScore,Words
3,960.5442176870747,1.0888888888888888,1045.9259259259256,extract
34,532.8571428571428,0.5,266.4285714285714,import
9,791.3690476190477,0.2916666666666667,230.81597222222226,text
35,532.8571428571428,0.3333333333333333,177.6190476190476,task
1,960.5442176870747,0.18016677345424975,173.05815246081676,method
22,659.4285714285714,0.2,131.8857142857143,analysi
8,886.3673469387753,0.10857563489142436,96.23789744090493,propos
16,659.4285714285714,0.14285714285714285,94.20408163265306,paper
0,960.5442176870747,0.09415584415584416,90.44085166534146,keyword
33,532.8571428571428,0.16666666666666666,88.8095238095238,endeavour
19,659.4285714285714,0.125,82.42857142857143,present
5,886.3673469387753,0.08686371100164203,76.99315706578196,word
20,659.4285714285714,0.1111111111111111,73.26984126984127,critic
23,659.4285714285714,0.1,65.94285714285715,discuss
6,886.3673469387753,0.06886792452830189,61.04227955333075,parameterless
17,659.4285714285714,0.09090909090909091,59.948051948051955,issu
7,886.3673469387753,0.06586270871985157,58.37855439021618,construct
18,659.4285714285714,0.08333333333333333,54.95238095238095,challeng
21,659.4285714285714,0.058823529411764705,38.78991596638655,comprehens
4,886.3673469387753,0.043478260869565216,38.53771073646849,graph
13,703.9455782312925,0.05333333333333333,37.5437641723356,score
15,703.9455782312925,0.04695562435500516,33.054204137795466,base
14,703.9455782312925,0.04552058111380145,32.044011793579415,connect
10,722.0,0.038461538461538464,27.76923076923077,contextu
11,722.0,0.037037037037037035,26.74074074074074,relat
2,960.5442176870747,0.023255813953488372,22.338237620629645,graphbas
12,709.7142857142858,0.027777777777777776,19.714285714285715,concept
24,602.798185941043,0.02702702702702703,16.291842863271434,demonstr
25,602.798185941043,0.025,15.069954648526076,individu
26,602.798185941043,0.024390243902439025,14.70239477904983,superior
27,602.798185941043,0.021739130434782608,13.104308390022673,algorithm
32,561.5238095238095,0.02127659574468085,11.947315096251266,combin
31,561.5238095238095,0.019230769230769232,10.7985347985348,lead
29,561.5238095238095,0.017857142857142856,10.02721088435374,scake
28,561.5238095238095,0.017241379310344827,9.681444991789819,semant
30,561.5238095238095,0.01639344262295082,9.205308352849336,document
