,Old_WScore,Position_Weight,SCScore,Words
2,6114.876543209875,0.47208575454291435,2886.7461068380017,algorithm
165,1977.3508771929826,1.0,1977.3508771929826,scientif
25,3642.7669753086416,0.5387396484739356,1962.5029997502393,studi
3,5639.1296296296305,0.26126280161935034,1473.2948057317267,model
6,5493.024691358024,0.24276918663679195,1333.5371364968025,comput
1,6153.3703703703695,0.15260458890416836,939.0325557454605,machin-learn
31,3455.112318840579,0.2672413793103448,923.3489817591202,statist
11,5104.939814814815,0.16588411102287184,846.8284030058196,task
19,3862.6010802469127,0.19034740749823476,735.2361018248808,perform
7,5401.938697318008,0.13149634085981043,710.3351722463291,data
0,6568.98688271605,0.06888199325397101,452.48491014067105,learn
9,5139.296934865901,0.07601679614852014,390.67288744441555,mathemat
21,3771.7763157894733,0.07496214033316506,282.74042548951877,pattern
164,1977.3508771929826,0.14285714285714285,282.47869674185466,system
16,4396.781609195402,0.06407156261366967,281.70866817219445,predict
4,5599.757575757576,0.04303699318114863,240.9967286039642,input
15,4412.607279693487,0.05416247453450646,238.99772941717632,train
160,1977.3508771929826,0.1111111111111111,219.7056530214425,specif
32,3412.0709876543215,0.06280193236714976,214.2846513985806,intellig
14,4493.376436781608,0.047623447013690916,213.99007464963623,base
23,3699.6551724137926,0.057608681018350226,213.13225470547567,build
5,5561.5999999999985,0.036244015277101804,201.57471536512935,learn-algorithm
13,4720.75462962963,0.04166453584259176,196.6880504702847,program
47,3055.944444444445,0.0625,190.9965277777778,subset
8,5168.219696969698,0.03547202203337192,183.32720296421587,output
27,3560.6034482758623,0.05078775943038934,180.83507135804922,applic
48,3055.944444444445,0.058823529411764705,179.76143790849676,artifici
161,1977.3508771929826,0.09090909090909091,179.75917065390752,explicit
163,1977.3508771929826,0.08333333333333333,164.77923976608187,instruct
40,3277.184865900383,0.05,163.85924329501916,make
162,1977.3508771929826,0.07692307692307693,152.10391363022944,reli
37,3315.2662835249043,0.044854368932038834,148.70417698917532,sampl
42,3241.9444444444453,0.04469358788389251,144.89412894247488,field
166,1977.3508771929826,0.06666666666666667,131.8233918128655,infer
43,3190.126436781609,0.04111236957392265,131.1536570565065,email
28,3556.496913580247,0.0358451072736787,127.48301338579115,wide
12,4864.444444444444,0.023892605791944688,116.22425350792649,set
17,4223.544753086419,0.023302741269170934,98.42017061993727,unsupervis
39,3283.8393719806763,0.0297696653628857,97.75879920933347,focus
10,5105.30303030303,0.018727563171213057,95.60988500818544,label
35,3389.166666666667,0.025858458961474037,87.63862716359576,develop
49,3027.587164750957,0.027700258397932817,83.86494678586631,filter
81,2370.1915708812257,0.034482758620689655,81.73074382349054,order
36,3364.375,0.02291161348834136,77.08325962983847,experi
83,2370.1915708812257,0.03125,74.0684865900383,decis
82,2370.1915708812257,0.030303030303030304,71.82398699640078,explicitli
22,3753.888888888889,0.01861042183622829,69.86145574855253,optim
44,3075.694444444444,0.020758380692155527,63.846436170525564,machin
24,3684.068783068783,0.016572614710385975,61.05465250835947,supervis
86,2363.563218390805,0.025,59.08908045977013,varieti
118,2241.384259259259,0.02610833918037473,58.518820474293705,definit
20,3789.6328502415454,0.014382727913383304,54.50525817664341,problem
84,2363.563218390805,0.022222222222222223,52.52362707535123,vision
54,2826.128019323671,0.01818181818181818,51.38414580588493,close
88,2363.563218390805,0.021739130434782608,51.38180909545228,difficult
53,2826.128019323671,0.017857142857142856,50.466571773636986,relat
85,2363.563218390805,0.02127659574468085,50.28857911469798,infeas
89,2363.563218390805,0.02040816326530612,48.235984048791934,convent
26,3578.290404040404,0.013005983372175667,46.539185495765246,desir
57,2795.8624338624336,0.01659113725140486,46.38653737625848,object
87,2363.563218390805,0.0196078431372549,46.34437683119226,effect
34,3398.15,0.013413003516708126,45.57939790030172,special
18,4090.5659722222217,0.00977362873359192,39.979673122764474,categori
110,2241.384259259259,0.01731893837156995,38.818395853118076,measur
79,2370.359649122807,0.015151515151515152,35.914540138224346,deliv
80,2370.359649122807,0.014925373134328358,35.37850222571353,method
148,2091.759259259259,0.01683398991824459,35.21265428176514,imag
77,2370.359649122807,0.014705882352941176,34.85823013415892,theori
76,2391.287037037037,0.014368112060974353,34.35828011810347,ture
75,2391.287037037037,0.014265407655599553,34.11268440488412,propos
78,2370.359649122807,0.014285714285714285,33.86228070175438,domain
74,2442.4786324786323,0.013611111111111112,33.244848053181386,think
29,3554.083333333333,0.00933732193994259,33.18562028471762,find
127,2240.2129629629626,0.014236498125443309,31.892787647816018,question
41,3247.0,0.009747557195921169,31.650318215156034,restrict
30,3529.822222222222,0.008707048302544852,30.734332588285096,human
38,3303.3777777777777,0.008527768649359186,28.17044145032315,includ
71,2522.1612903225805,0.010869565217391304,27.41479663394109,coin
157,2015.1604938271607,0.013513513513513514,27.231898565231905,mine
70,2522.1612903225805,0.010752688172043012,27.120013874436353,arthur
72,2522.1612903225805,0.010638297872340425,26.83150308853809,samuel
137,2210.677777777778,0.011764705882352941,26.00797385620915,busi
51,2931.8492063492067,0.008787919488842413,25.764854778823356,regress
56,2800.0,0.009113934562365054,25.519016774622152,classif
159,2015.1604938271607,0.012658227848101266,25.508360681356464,exploratori
136,2210.677777777778,0.011363636363636364,25.121338383838385,refer
158,2015.1604938271607,0.012345679012345678,24.87852461515013,analysi
114,2241.384259259259,0.010526315789473684,23.59351851851852,tom
125,2241.384259259259,0.010416666666666666,23.34775270061728,mitchel
149,2091.759259259259,0.011127940403696948,23.27697237591831,contain
111,2241.384259259259,0.010309278350515464,23.10705421916762,provid
115,2241.384259259259,0.010101010101010102,22.640245043022823,quot
120,2241.384259259259,0.01,22.41384259259259,formal
52,2842.9444444444453,0.007824143070044708,22.24360407352211,limit
55,2800.039215686275,0.00792156862745098,22.180702806612846,continu
126,2241.384259259259,0.00909090909090909,20.376220538720535,respect
116,2241.384259259259,0.009009009009009009,20.19265098431765,class
58,2751.552083333333,0.007131960335621663,19.623960319730482,group
46,3066.474074074075,0.006369426751592357,19.531682000471815,classifi
45,3066.474074074075,0.006329113924050633,19.4080637599625,broad
