Name,IF,IFDenseRank,IFMinRank
learn,6568.98688271605,1.0,1.0
machin-learn,6153.3703703703695,2.0,2.0
algorithm,6114.876543209876,3.0,3.0
model,5639.12962962963,4.0,4.0
input,5599.757575757576,5.0,5.0
learn-algorithm,5561.599999999999,6.0,6.0
comput,5493.024691358024,7.0,7.0
data,5401.938697318008,8.0,8.0
output,5168.219696969698,9.0,9.0
mathemat,5139.296934865901,10.0,10.0
label,5105.30303030303,11.0,11.0
task,5104.939814814815,12.0,12.0
set,4864.444444444444,13.0,13.0
program,4720.75462962963,14.0,14.0
base,4493.376436781608,15.0,15.0
train,4412.607279693487,16.0,16.0
predict,4396.781609195402,17.0,17.0
unsupervis,4223.544753086419,18.0,18.0
categori,4090.5659722222217,19.0,19.0
perform,3862.601080246913,20.0,20.0
problem,3789.6328502415463,21.0,21.0
pattern,3771.7763157894733,22.0,22.0
optim,3753.888888888889,23.0,23.0
build,3699.655172413793,24.0,24.0
supervis,3684.068783068783,25.0,25.0
studi,3642.7669753086416,26.0,26.0
desir,3578.290404040404,27.0,27.0
applic,3560.6034482758623,28.0,28.0
wide,3556.4969135802467,29.0,29.0
find,3554.083333333333,30.0,30.0
human,3529.822222222222,31.0,31.0
statist,3455.1123188405795,32.0,32.0
intellig,3412.070987654321,33.0,33.0
feedback,3412.0499999999997,34.0,34.0
special,3398.15,35.0,35.0
develop,3389.166666666667,36.0,36.0
experi,3364.375,37.0,37.0
sampl,3315.266283524904,38.0,38.0
includ,3303.377777777778,39.0,39.0
focus,3283.8393719806763,40.0,40.0
make,3277.184865900383,41.0,41.0
restrict,3247.0,42.0,42.0
field,3241.944444444445,43.0,43.0
email,3190.1264367816093,44.0,44.0
machin,3075.694444444444,45.0,45.0
broad,3066.4740740740745,46.0,46.0
classifi,3066.4740740740745,46.0,46.0
subset,3055.9444444444443,47.0,48.0
artifici,3055.9444444444443,47.0,48.0
filter,3027.5871647509575,48.0,50.0
interact,3000.8599033816427,49.0,51.0
regress,2931.8492063492063,50.0,52.0
limit,2842.944444444445,51.0,53.0
relat,2826.128019323671,52.0,54.0
close,2826.128019323671,52.0,54.0
continu,2800.039215686275,53.0,56.0
classif,2800.0,54.0,57.0
object,2795.8624338624336,55.0,58.0
group,2751.5520833333335,56.0,59.0
acquir,2695.861111111111,57.0,60.0
estim,2671.041062801932,58.0,61.0
probabl,2671.041062801932,58.0,61.0
function,2671.041062801932,58.0,61.0
unobserv,2671.041062801932,58.0,61.0
densiti,2671.041062801932,58.0,61.0
user,2573.7833333333333,59.0,66.0
present,2573.7833333333333,59.0,66.0
structur,2535.8055555555557,60.0,68.0
cluster,2535.8055555555557,60.0,68.0
point,2535.8055555555557,60.0,68.0
arthur,2522.1612903225805,61.0,71.0
coin,2522.1612903225805,61.0,71.0
samuel,2522.1612903225805,61.0,71.0
activ,2514.268115942029,62.0,74.0
think,2442.4786324786323,63.0,75.0
propos,2391.287037037037,64.0,76.0
ture,2391.287037037037,64.0,76.0
theori,2370.3596491228072,65.0,78.0
domain,2370.3596491228072,65.0,78.0
deliv,2370.3596491228072,65.0,78.0
method,2370.3596491228072,65.0,78.0
order,2370.1915708812257,66.0,82.0
explicitli,2370.1915708812257,66.0,82.0
decis,2370.1915708812257,66.0,82.0
vision,2363.5632183908046,67.0,85.0
infeas,2363.5632183908046,67.0,85.0
varieti,2363.5632183908046,67.0,85.0
effect,2363.5632183908046,67.0,85.0
difficult,2363.5632183908046,67.0,85.0
convent,2363.5632183908046,67.0,85.0
temperatur,2363.418300653595,68.0,91.0
length,2363.418300653595,68.0,91.0
price,2363.418300653595,68.0,91.0
exampl,2363.418300653595,68.0,91.0
type,2362.4444444444443,69.0,95.0
play,2306.933333333333,70.0,96.0
game,2306.933333333333,70.0,96.0
reinforc,2306.933333333333,70.0,96.0
autonom,2306.933333333333,70.0,96.0
oppon,2306.933333333333,70.0,96.0
dynam,2306.933333333333,70.0,96.0
posit,2306.933333333333,70.0,96.0
form,2306.933333333333,70.0,96.0
neg,2306.933333333333,70.0,96.0
environ,2306.933333333333,70.0,96.0
vehicl,2306.933333333333,70.0,96.0
previou,2252.2883597883597,71.0,107.0
bia,2252.2883597883597,71.0,107.0
meta,2252.2883597883597,71.0,107.0
induct,2252.2883597883597,71.0,107.0
measur,2241.384259259259,72.0,111.0
provid,2241.384259259259,72.0,111.0
cognit,2241.384259259259,72.0,111.0
term,2241.384259259259,72.0,111.0
tom,2241.384259259259,72.0,111.0
quot,2241.384259259259,72.0,111.0
class,2241.384259259259,72.0,111.0
concern,2241.384259259259,72.0,111.0
definit,2241.384259259259,72.0,111.0
fundament,2241.384259259259,72.0,111.0
formal,2241.384259259259,72.0,111.0
offer,2241.384259259259,72.0,111.0
improv,2241.384259259259,72.0,111.0
defin,2241.384259259259,72.0,111.0
oper,2241.384259259259,72.0,111.0
mitchel,2241.384259259259,72.0,111.0
respect,2241.384259259259,72.0,111.0
question,2240.2129629629626,73.0,128.0
incomplet,2239.760582010582,74.0,129.0
portion,2239.760582010582,74.0,129.0
semisupervis,2239.760582010582,74.0,129.0
doesnt,2239.760582010582,74.0,129.0
need,2239.760582010582,74.0,129.0
paper,2221.074074074074,75.0,134.0
machineri,2221.074074074074,75.0,134.0
